DISTRICT,Type,A24,A5P,MH,SFA,SFD,GQ
13013180103,Metropolitan,0,360,0,0,0,0
13013180103,Rural,0,0,0,0,0,0
13013180103,Town,0,0,0,0,0,0
13013180104,Metropolitan,0,0,0,0,0,0
13013180104,Rural,0,0,0,0,0,0
13013180105,Metropolitan,0,168,0,0,0,0
13013180104,Town,0,0,0,0,0,0
13013180105,Rural,0,0,0,0,0,0
13013180106,Metropolitan,0,0,0,0,0,0
13013180106,Rural,0,0,0,0,0,0
13013180105,Town,0,0,0,0,0,0
13013180107,Metropolitan,0,0,0,0,0,0
13013180107,Rural,0,0,0,0,0,0
13013180106,Town,0,0,0,0,0,0
13013180108,Metropolitan,0,225.6,0,0,0,0
13013180108,Rural,0,0,0,0,0,0
13013180203,Metropolitan,0,1843.2,0,83.2,0,0
13013180107,Town,0,0,0,0,0,0
13013180203,Rural,0,0,0,0,0,0
13013180204,Metropolitan,0,0,0,0,0,0
13013180204,Rural,0,0,0,0,0,0
13013180108,Town,0,0,0,0,0,0
13013180205,Metropolitan,0,841.6,0,0,0,0
13013180205,Rural,0,0,0,0,0,0
13013180203,Town,0,0,0,0,0,0
13013180206,Metropolitan,0,480,0,105.6,0,0
13013180206,Rural,0,0,0,0,0,0
13013180301,Metropolitan,0,404.8,0,0,0,0
13013180204,Town,0,0,0,0,0,0
13013180301,Rural,0,0,0,0,0,0
13013180302,Metropolitan,0,0,0,0,0,0
13013180302,Rural,0,0,0,0,0,0
13013180205,Town,0,0,0,0,0,0
13013180303,Metropolitan,0,0,0,0,0,0
13013180303,Rural,0,0,0,0,0,0
13013180206,Town,0,0,0,0,0,0
13013180401,Metropolitan,0,126.4,0,0,0,0
13013180401,Rural,0,0,0,0,0,0
13013180402,Metropolitan,0,249.6,0,0,0,0
13013180301,Town,0,0,0,0,0,0
13013180402,Rural,0,0,0,0,0,0
13013180501,Metropolitan,0,0,0,0,0,0
13013180501,Rural,0,0,0,0,0,0
13013180302,Town,0,0,0,0,0,0
13013180502,Metropolitan,0,569.6,0,953.6,2305.6,0
13013180502,Rural,0,0,0,0,0,0
13013180303,Town,0,0,0,0,0,0
13013180503,Metropolitan,0,3305.6,0,0,6563.2,0
13013180503,Rural,0,0,0,0,0,0
13015960101,Metropolitan,0,633.6,0,0,660.8,0
13013180401,Town,0,0,0,0,0,0
13015960101,Rural,0,0,0,0,0,0
13015960102,Metropolitan,0,3289.6,0,166.4,3904,0
13015960102,Rural,0,0,0,0,0,0
13013180402,Town,0,0,0,0,0,0
13015960200,Metropolitan,0,14427.2,0,1022.4,7172.8,0
13015960200,Rural,0,0,0,0,0,0
13013180501,Town,0,0,0,0,0,0
13015960300,Metropolitan,0,7321.6,0,496,1841.6,0
13015960300,Rural,0,0,0,0,0,0
13015960401,Metropolitan,0,1473.6,0,0,0,0
13013180502,Town,0,0,0,0,0,0
13015960401,Rural,0,0,0,0,0,0
13015960402,Metropolitan,0,2537.6,0,0,580.8,0
13015960402,Rural,0,0,0,0,0,0
13013180503,Town,0,0,0,0,0,0
13015960500,Metropolitan,0,700.8,0,0,241.6,0
13015960500,Rural,0,0,0,0,0,0
13015960101,Town,0,0,0,0,0,0
13015960600,Metropolitan,0,1592,0,883.2,1707.2,0
13015960600,Rural,0,0,0,0,0,0
13015960700,Metropolitan,0,1292.8,0,1273.6,784,0
13015960102,Town,0,0,0,0,0,0
13015960700,Rural,0,0,0,0,0,0
13015960801,Metropolitan,0,1177.6,0,0,360,0
13015960801,Rural,0,0,0,0,0,0
13015960200,Town,0,0,0,0,0,0
13015960802,Metropolitan,0,0,0,0,0,0
13015960802,Rural,0,0,0,0,0,0
13015960300,Town,0,0,0,0,0,0
13015960803,Metropolitan,0,1640,0,0,2454.4,0
13015960803,Rural,0,0,0,0,0,0
13015960901,Metropolitan,0,542.4,0,0,0,0
13015960401,Town,0,0,0,0,0,0
13015960901,Rural,0,0,0,0,0,0
13015960902,Metropolitan,0,904,0,0,283.2,0
13015960902,Rural,0,0,0,0,0,0
13015960402,Town,0,0,0,0,0,0
13015961000,Metropolitan,0,1235.2,249.6,0,371.2,0
13015961000,Rural,0,0,0,0,0,0
13015960500,Town,0,0,0,0,0,0
13045910101,Metropolitan,0,1294.4,0,0,5612.8,0
13045910101,Rural,0,0,0,0,0,0
13045910103,Metropolitan,0,1078.4,0,0,3353.6,0
13015960600,Town,0,0,0,0,0,0
13045910103,Rural,0,0,0,0,0,0
13045910104,Metropolitan,0,1588.8,0,456,4137.6,0
13045910104,Rural,0,0,0,0,0,0
13015960700,Town,0,0,0,0,0,0
13045910200,Metropolitan,0,5099.2,0,0,7659.2,0
